iteration,objf,mu_ke,mu_v,omega_ke,omega_v,status
1,-171.285848,-1.366492,4.744932,0.223144,0.223144,Continue
2,-171.285848,-1.366492,4.744932,0.223144,0.223144,Continue
3,-171.285848,-1.366492,4.744932,0.223144,0.223144,Continue
4,-171.285848,-1.366492,4.744932,0.223144,0.223144,Continue
5,-171.285848,-1.366492,4.744932,0.223144,0.223144,Continue
6,-171.285848,-1.982252,4.612392,0.588365,0.216449,Continue
7,-171.285848,-2.160340,4.861388,0.645402,0.218392,Continue
8,-171.285848,-2.096565,5.061181,0.500839,0.204986,Continue
9,-171.285848,-1.982230,5.113042,0.475147,0.197547,Continue
10,-171.285848,-2.015991,5.036625,0.468065,0.191621,Continue
11,-171.285848,-1.996318,4.950982,0.549506,0.185872,Continue
12,-171.285848,-1.960686,4.903212,0.572433,0.180296,Continue
13,-171.285848,-1.968750,4.888103,0.578458,0.174887,Continue
14,-171.285848,-1.998893,4.952086,0.595640,0.169641,Continue
15,-171.285848,-2.026446,4.966921,0.692590,0.164551,Continue
16,-171.285848,-2.045453,4.935813,0.701154,0.159615,Continue
17,-171.285848,-2.062857,4.943456,0.735097,0.154826,Continue
18,-171.285848,-2.089648,4.957187,0.759635,0.150182,Continue
19,-171.285848,-2.069596,4.953928,0.714128,0.145676,Continue
20,-171.285848,-2.007168,4.909687,0.697797,0.141306,Continue
21,-171.285848,-2.017509,4.877788,0.684414,0.137067,Continue
22,-171.285848,-2.032428,4.857818,0.710954,0.132955,Continue
23,-171.285848,-2.006854,4.817697,0.671423,0.128966,Continue
24,-171.285848,-2.031332,4.839740,0.728851,0.125097,Continue
25,-171.285848,-2.043697,4.836921,0.709705,0.121344,Continue
26,-171.285848,-2.045324,4.833662,0.710633,0.117704,Continue
27,-171.285848,-2.007027,4.779916,0.692736,0.114173,Continue
28,-171.285848,-2.016802,4.750415,0.735285,0.110748,Continue
29,-171.285848,-1.984640,4.746870,0.630822,0.107425,Continue
30,-171.285848,-2.013500,4.774035,0.667122,0.104202,Continue
31,-171.285848,-2.084948,4.838454,0.738645,0.101076,Continue
32,-171.285848,-2.120139,4.869443,0.712985,0.098044,Continue
33,-171.285848,-2.063685,4.854955,0.618666,0.095103,Continue
34,-171.285848,-2.044382,4.806482,0.664786,0.092250,Continue
35,-171.285848,-1.991433,4.770462,0.633875,0.089482,Continue
36,-171.285848,-2.040446,4.764383,0.663746,0.086798,Continue
37,-171.285848,-2.051129,4.765905,0.660738,0.084194,Continue
38,-171.285848,-2.038500,4.757437,0.618801,0.081668,Continue
39,-171.285848,-2.027448,4.721031,0.673371,0.079218,Continue
40,-171.285848,-2.020511,4.718670,0.657155,0.076841,Continue
41,-171.285848,-2.010424,4.721724,0.675542,0.074536,Continue
42,-171.285848,-1.999641,4.680858,0.667580,0.072300,Continue
43,-171.285848,-2.003208,4.660373,0.681324,0.070131,Continue
44,-171.285848,-1.970577,4.665360,0.653118,0.068027,Continue
45,-171.285848,-2.002670,4.694684,0.696427,0.065986,Continue
46,-171.285848,-2.067586,4.718635,0.800879,0.064007,Continue
47,-171.285848,-2.077583,4.725750,0.764809,0.062087,Continue
48,-171.285848,-2.059033,4.722098,0.782070,0.060224,Continue
49,-171.285848,-2.036315,4.708926,0.755802,0.058417,Continue
50,-171.285848,-2.032746,4.701454,0.785233,0.056665,Continue
51,-171.285848,-2.073594,4.689052,0.832916,0.054965,Continue
52,-171.285848,-2.074486,4.707167,0.779659,0.053316,Continue
53,-171.285848,-2.071141,4.726375,0.767681,0.051716,Continue
54,-171.285848,-2.063265,4.734399,0.739502,0.050165,Continue
55,-171.285848,-2.056991,4.716538,0.750054,0.048660,Continue
