ske,log_likelihood
0.005000,-101.0380
0.013621,-100.2617
0.022241,-99.3631
0.030862,-98.8339
0.039483,-98.2724
0.048103,-97.9454
0.056724,-97.6529
0.065345,-97.5973
0.073966,-97.8896
0.082586,-98.2549
0.091207,-98.9260
0.099828,-99.4578
0.108448,-100.2509
0.117069,-101.0755
0.125690,-101.7705
0.134310,-102.8883
0.142931,-103.7646
0.151552,-104.8035
0.160172,-105.7389
0.168793,-106.8295
0.177414,-107.9022
0.186034,-108.9537
0.194655,-109.9663
0.203276,-111.0227
0.211897,-112.2444
0.220517,-113.3274
0.229138,-114.2932
0.237759,-115.5555
0.246379,-116.5156
0.255000,-117.6083
